Date,AC Penrose NO_MCG 24h average [痢/m設,AC Penrose NO2_MCG 24h average [痢/m設,AC Penrose NOX_MCG 24h average [痢/m設,AC Penrose PM10 24h average [痢/m設,AC Penrose PM2.5 24h average [痢/m設,AC Penrose RH 24h average [%],AC Penrose TEMP 24h average [蚓],AC Penrose WSP 24h average [m/s]
1/01/2014,16.513,16.054,32.568,13.615,9.748,74.653,17.03,1.295
2/01/2014,12.719,16.235,28.954,16.692,5.08,63.088,18.57,1.832
3/01/2014,4.258,7.836,12.094,11.792,4.368,71.657,19.9,2.978
4/01/2014,2.277,4.808,7.085,12.472,6.019,72.613,21.63,2.735
5/01/2014,4.647,5.573,10.219,16.973,6.679,77.559,19.59,3.295
6/01/2014,22.616,16.149,38.765,28.586,9.757,56.931,18.02,3.497
7/01/2014,9.579,12.472,22.051,14.813,6.752,74.124,18.06,2.112
8/01/2014,13.877,14.345,28.222,27.573,7.695,61.766,18.72,2.871
9/01/2014,21.24,18.145,39.386,12.481,4.91,64.531,16.09,3.135
10/01/2014,31.154,22.352,53.506,16.195,5.24,63.632,16.92,2.849
11/01/2014,17.196,14.8,31.996,16.604,4.164,64.46,17.36,2.645
12/01/2014,9.69,11.323,21.013,,2.082,70.682,16.75,2.284
13/01/2014,8.595,6.821,15.416,7.686,4.533,62.845,18.59,3.374
14/01/2014,21.765,14.11,35.874,25.567,7.627,58.457,17.31,5.431
15/01/2014,27.673,20.962,48.635,26.073,7.673,59.829,17.48,2.991
16/01/2014,21.809,15.936,37.745,16.236,5.007,68.505,17.1,3.5
17/01/2014,13.382,7.85,21.233,25.156,8.287,68.545,17.59,5.447
18/01/2014,14.434,15.253,29.687,31.309,9.578,55.122,17.02,3.615
19/01/2014,,,,24.609,9.864,66.865,17.63,1.444
20/01/2014,,,,16.01,7.588,79.21,17.9,2.687
21/01/2014,,,,11.785,4.284,85.42,18.27,5.015
22/01/2014,,,,10.315,5.16,75.597,19.05,2.724
23/01/2014,,,,22.184,7.942,62.011,17.36,4.844
24/01/2014,,,,20.63,6.287,60.797,17.76,3.747
25/01/2014,,,,20.383,7.361,67.975,18.21,2.606
26/01/2014,,,,11.504,5.335,85.093,19.02,3.32
27/01/2014,,,,21.699,6.056,60.414,16.74,4.357
28/01/2014,,,,13.257,6.584,61.461,16.1,3.657
29/01/2014,,,,18.727,7.598,70.877,17.5,3.035
30/01/2014,,,,19.123,6.297,66.22,18.01,4.492
31/01/2014,,,,17.653,7.706,66.002,18.95,1.973
1/02/2014,,,,13.724,4.906,58.32,18.66,3.075
2/02/2014,,,,6.905,2.509,52.664,19.01,1.804
3/02/2014,,,,16.612,6.165,66.01,19.12,1.862
4/02/2014,,,,14.235,7.034,71.57,18.69,1.33
5/02/2014,,,,16.201,7.216,73.102,19.13,1.286
6/02/2014,,,,21.266,5.858,69.434,19.3,2.99
7/02/2014,,,,16.543,3.074,80.2,18.93,4.019
8/02/2014,,,,5.891,3.733,82.873,19.67,3.792
9/02/2014,,,,16.849,6.748,75.861,20.05,4.391
10/02/2014,,,,15.189,5.674,62.032,19.57,2.99
11/02/2014,,,,15.212,5.219,69.942,18.47,3.184
12/02/2014,,,,15.541,6.334,69.756,17.53,2.741
13/02/2014,,,,9.914,4.875,66.752,17.6,3.055
14/02/2014,,,,16.572,4.477,69.696,17.61,3.069
15/02/2014,,,,9.841,4.755,70.224,18.13,2.718
16/02/2014,,,,10.342,4.3,67.78,19.02,1.955
17/02/2014,,,,17.702,5.487,69.813,20.07,2.323
18/02/2014,,,,25.372,7.423,67.716,21.61,2.623
19/02/2014,,,,21.222,6.452,75.505,20.68,2.206
20/02/2014,,,,16.648,5.178,74.025,20.83,2.412
21/02/2014,,,,19.49,8.111,71.601,21.23,2.019
22/02/2014,,,,5.563,3.033,86.54,21.09,1.683
23/02/2014,,,,16.226,5.571,65.816,18.64,5.324
24/02/2014,,,,24.824,6.343,52.982,17.08,2.9
25/02/2014,,,,21.374,8.603,68.196,17.28,2.985
26/02/2014,,,,23.399,11.107,70.25,18.48,1.386
27/02/2014,,,,24.873,11.794,69.674,19.3,1.439
28/02/2014,,,,18.638,8.947,74.686,18.08,3.064
1/03/2014,,,,19.484,6.254,53.99,16.49,4.134
2/03/2014,,,,14.604,4.779,64.243,16.24,2.354
3/03/2014,,,,12.27,4.472,73.068,15.8,3.492
4/03/2014,,,,21.499,6.833,56.359,15.48,4.218
5/03/2014,,,,20.389,6.508,64.205,16.05,4.506
6/03/2014,,,,14.745,6.112,64.492,16.21,2.886
7/03/2014,,,,16.07,6.94,73.474,16.52,1.728
8/03/2014,,,,12.593,4.7,70.787,16.62,2.097
9/03/2014,,,,9.216,2.961,70.055,17.78,2.698
10/03/2014,,,,17.359,7.377,73.075,17.84,1.325
11/03/2014,,,,18.919,9.427,76.956,17.52,1.384
12/03/2014,,,,16.751,8.14,68.56,18.07,1.269
13/03/2014,,,,14.87,5.813,62.843,18.46,1.388
14/03/2014,,,,15.497,5.264,67.871,18.04,1.86
15/03/2014,,,,8.84,4.375,86.854,19.33,4.691
16/03/2014,,,,12.174,4.717,84.596,19.2,3.415
17/03/2014,,,,18.893,5.779,75.956,18.6,2.087
18/03/2014,,,,13.339,5.558,81.741,18.66,1.524
19/03/2014,,,,18.608,7.148,70.186,18.04,2.821
20/03/2014,,,,19.204,8.028,73.546,17.07,2.863
21/03/2014,,,,16.491,6.75,64.664,18.93,1.941
22/03/2014,,,,15.794,6.193,59.999,17.47,1.703
23/03/2014,,,,11.092,4.611,73.718,17.82,1.438
24/03/2014,,,,13.376,6.527,76.996,17.82,1.234
25/03/2014,,,,14.309,6.379,76.243,16.98,2.684
26/03/2014,,,,21.249,6.839,61.842,16.57,5.01
27/03/2014,,,,17.816,6.353,66.566,16.95,3.979
28/03/2014,,,,24.303,9.846,75.01,16.82,2.168
29/03/2014,,,,14.33,6.652,74.045,16.5,1.641
30/03/2014,,,,11.146,5.559,75.303,16.29,1.486
31/03/2014,,,,18.045,8.218,72.125,17.61,1.374
1/04/2014,,,,19.65,9.293,78.126,17.01,1.052
2/04/2014,,,,19.463,10.406,75.621,18.28,1.111
3/04/2014,,,,15.356,9.429,86.964,16.44,0.878
4/04/2014,,,,15.312,8.567,80.973,16.84,2.062
5/04/2014,,,,11.82,5.654,78.036,17.26,3.444
6/04/2014,,,,13.071,6.121,79.033,17.84,3.011
7/04/2014,,,,15.061,6.751,80.823,17.78,2.285
8/04/2014,,,,17.207,7.683,81.402,18.82,1.625
9/04/2014,,,,16.173,7.246,79.054,19.23,1.3
10/04/2014,,,,17.073,6.796,80.749,18.8,1.217
11/04/2014,,,,9.426,5.005,86.332,17.58,1.206
12/04/2014,,,,11.655,4.305,74.6,16.79,1.919
13/04/2014,,,,13.497,5.645,77.776,16.43,1.406
14/04/2014,,,,11.983,3.913,80.954,18.01,2.878
15/04/2014,,,,11.374,3.845,72.977,18.41,3.64
16/04/2014,,,,11.706,3.871,80.763,18.26,3.363
17/04/2014,,,,19.533,7.461,87.798,18.64,4.596
18/04/2014,,,,14.908,6.133,84.153,19.09,2.487
19/04/2014,,,,15.677,3.515,81.709,17.75,2.034
20/04/2014,,,,11.346,3.993,89.577,15.15,2.081
21/04/2014,,,,10.512,3.641,76.018,15.42,2.925
22/04/2014,,,,13.093,4.704,72.539,15.63,2.767
23/04/2014,,,,13.999,7.22,73.382,14.01,1.584
24/04/2014,,,,14.216,6.546,85.325,14.6,1.151
25/04/2014,,,,8.553,3.537,83.873,16.61,1.847
26/04/2014,,,,16.687,6.85,70.75,15.37,2.005
27/04/2014,,,,13.573,5.281,74.088,14.37,1.533
28/04/2014,,,,16.573,5.55,70.064,14.27,2.79
29/04/2014,,,,20.787,8.453,76.027,13.81,2.573
30/04/2014,,,,24.761,10.092,79.622,13.01,1.156
1/05/2014,,,,18.053,10.036,79.642,12.87,1.324
2/05/2014,,,,19.511,10.841,81.894,12.59,0.63
